age,workclass,fnlwgt,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
25,3,226802,7,4,6,3,2,1,0,0,40,39,<=50K
38,3,89814,9,2,4,0,4,1,0,0,50,39,<=50K
28,1,336951,12,2,11,0,4,1,0,0,40,39,>50K
44,3,160323,10,2,6,0,2,1,7688,0,40,39,>50K
18,2,103497,10,4,8,3,4,0,0,0,30,39,<=50K
34,3,198693,6,4,7,1,4,1,0,0,30,39,<=50K
29,2,227026,9,4,8,4,2,1,0,0,40,39,<=50K
63,5,104626,15,2,10,0,4,1,3103,0,32,39,>50K
24,3,369667,10,4,7,4,4,0,0,0,40,39,<=50K
65,3,184454,9,2,6,0,4,1,6418,0,40,39,>50K
36,0,212465,13,2,0,0,4,1,0,0,40,39,<=50K
26,3,82091,9,4,0,1,4,0,0,0,39,39,<=50K
58,2,299831,9,2,8,0,4,1,0,0,35,39,<=50K
48,3,279724,9,2,6,0,4,1,3103,0,48,39,>50K
43,3,346189,14,2,3,0,4,1,0,0,50,39,>50K
20,6,444554,10,4,7,3,4,1,0,0,25,39,<=50K
43,3,128354,9,2,0,5,4,0,0,0,30,39,<=50K
37,3,60548,9,6,6,4,4,0,0,0,20,39,<=50K
40,3,85019,16,2,10,0,1,1,0,0,45,0,>50K
34,3,107914,13,2,13,0,4,1,0,0,47,39,>50K
34,3,238588,10,4,7,3,2,0,0,0,35,39,<=50K
25,3,220931,13,4,10,1,4,1,0,0,43,29,<=50K
25,3,205947,13,2,10,0,4,1,0,0,40,39,<=50K
45,5,432824,9,2,2,0,4,1,7298,0,90,39,>50K
22,3,236427,9,4,0,3,4,1,0,0,20,39,<=50K
23,3,134446,9,5,6,4,2,1,0,0,54,39,<=50K
54,3,99516,9,2,2,0,4,1,0,0,35,39,<=50K
32,5,109282,10,4,10,1,4,1,0,0,60,39,<=50K
46,6,106444,10,2,3,0,2,1,7688,0,38,39,>50K
56,5,186651,7,6,7,4,4,0,0,0,50,39,<=50K
24,5,188274,13,4,12,1,4,1,0,0,50,39,<=50K
23,1,258120,10,2,11,0,4,1,0,0,40,39,<=50K
26,3,43311,9,0,3,4,4,0,0,0,40,39,<=50K
65,2,191846,9,2,8,0,4,1,0,0,40,39,<=50K
36,1,403681,13,2,10,0,4,1,0,0,40,39,>50K
17,3,269430,6,4,6,1,4,1,0,0,40,39,<=50K
20,3,257509,9,4,2,3,4,1,0,0,40,39,<=50K
65,3,136384,14,2,10,0,4,1,0,0,50,39,>50K
44,4,120277,11,2,12,0,4,1,0,0,45,39,>50K
36,3,465326,9,2,4,0,4,1,0,0,40,39,<=50K
29,3,103634,7,2,7,0,4,1,0,0,40,39,<=50K
20,6,138371,10,4,4,3,4,1,0,0,32,39,<=50K
28,3,242832,11,2,10,5,4,0,0,0,36,39,>50K
54,3,186272,10,2,14,0,4,1,3908,0,50,39,<=50K
52,3,201062,7,5,9,1,2,0,0,0,18,39,<=50K
56,4,131916,9,6,3,1,4,0,0,0,50,39,<=50K
18,3,54440,10,4,7,3,4,1,0,0,20,39,<=50K
39,3,280215,9,0,5,3,2,1,0,0,40,39,<=50K
21,3,214399,10,4,7,3,4,0,0,1721,24,39,<=50K
22,3,54164,9,4,7,1,4,1,14084,0,60,39,>50K
38,3,219446,5,3,3,1,4,1,0,0,54,26,<=50K
21,3,110677,10,4,0,3,4,0,0,0,40,39,<=50K
63,3,145985,9,2,2,0,4,1,0,0,40,39,<=50K
34,1,382078,13,2,3,0,4,1,3103,0,50,39,>50K
42,4,170721,9,2,3,0,4,1,5178,0,50,39,>50K
33,3,269705,9,2,5,0,4,1,0,0,40,39,<=50K
30,3,101135,13,4,3,1,4,0,0,0,50,39,<=50K
39,3,118429,10,0,12,1,4,1,0,0,40,39,<=50K
26,3,31208,14,4,3,1,4,0,0,0,40,39,<=50K
33,3,281384,9,4,6,3,4,0,0,0,40,39,<=50K
47,1,171807,9,0,0,1,4,0,0,0,40,39,<=50K
41,3,109912,13,4,7,1,4,0,0,0,40,0,<=50K
41,4,445382,12,2,2,0,4,1,15024,0,60,39,>50K
19,3,105460,10,4,7,3,4,1,0,0,20,39,<=50K
46,3,170338,9,5,14,1,4,1,0,0,40,39,<=50K
43,3,102606,9,2,12,0,4,1,0,0,48,39,<=50K
55,3,323887,10,2,3,0,4,1,15024,0,45,39,>50K
46,3,175622,11,2,13,0,4,1,0,0,40,39,<=50K
30,3,229636,9,2,6,0,4,1,0,0,40,26,<=50K
21,3,388946,10,5,5,1,4,0,0,0,40,39,<=50K
46,3,269034,10,2,2,0,3,1,0,0,40,6,<=50K
17,2,165361,6,4,8,3,4,1,0,0,40,39,<=50K
41,3,75012,9,2,6,0,4,1,0,0,50,39,<=50K
69,4,174379,9,2,12,0,4,1,0,0,30,39,<=50K
50,3,312477,9,2,14,0,4,1,0,0,40,39,<=50K
20,3,72055,10,4,0,1,4,0,0,0,40,39,<=50K
45,4,67001,10,2,6,0,4,1,0,0,50,39,<=50K
23,3,213734,13,4,3,1,4,1,0,0,40,39,<=50K
24,3,83141,10,5,7,1,4,1,0,1876,40,39,<=50K
44,4,223881,9,2,2,0,4,1,99999,0,50,0,>50K
31,5,113752,10,2,2,0,4,1,0,0,50,39,<=50K
43,3,170482,9,5,6,1,4,0,0,0,44,39,<=50K
20,0,244689,7,4,7,3,4,0,0,0,10,39,<=50K
55,3,160631,9,2,12,0,4,1,0,0,56,39,>50K
24,0,228724,10,4,1,1,4,1,0,0,40,39,<=50K
41,2,38434,14,2,8,5,4,0,7688,0,10,39,>50K
59,3,292946,13,4,3,1,4,0,0,0,25,39,<=50K
33,3,176410,14,2,10,5,4,0,5178,0,10,39,>50K
59,0,98984,13,0,0,1,4,1,0,0,40,39,<=50K
34,3,198751,14,4,7,1,0,1,0,0,40,39,<=50K
20,3,479296,9,4,5,3,4,1,0,0,40,39,<=50K
25,3,235218,13,4,3,3,4,0,0,0,40,39,<=50K
49,3,164877,6,2,4,0,4,1,0,0,40,39,<=50K
59,3,272087,9,2,14,0,4,1,0,0,40,39,>50K
20,3,169699,9,4,0,1,4,0,0,0,40,39,<=50K
51,2,189762,10,2,8,5,4,0,0,0,18,39,<=50K
33,3,202191,10,4,0,4,2,0,0,0,35,39,<=50K
22,3,212261,10,4,14,3,2,1,0,0,39,39,<=50K
58,5,301568,5,6,7,1,4,0,0,0,40,39,<=50K
52,1,155233,9,6,0,4,4,0,0,0,28,39,<=50K
36,3,75826,6,5,6,1,4,0,0,0,40,39,<=50K
41,1,201520,9,2,11,0,4,1,0,0,40,39,<=50K
28,3,154236,9,4,14,3,4,1,2597,0,40,39,<=50K
19,3,289227,10,4,5,3,2,1,0,0,16,39,<=50K
18,3,217439,9,4,7,1,4,0,0,0,28,39,<=50K
18,3,179020,9,4,6,3,4,0,0,0,48,39,<=50K
28,3,149624,10,2,2,0,4,1,0,0,40,39,<=50K
29,3,337266,11,2,3,0,4,1,0,0,40,39,>50K
20,2,30796,9,4,8,3,4,0,0,0,20,39,<=50K
40,3,103541,10,2,5,0,4,1,0,0,40,39,<=50K
26,3,206721,9,4,5,4,4,1,0,0,40,39,<=50K
46,3,96773,9,2,2,0,4,1,0,0,40,39,<=50K
23,3,200967,7,4,7,1,4,0,0,0,24,39,<=50K
44,3,180019,9,3,0,4,4,0,0,0,40,39,<=50K
43,3,179866,13,0,12,4,4,0,0,0,40,39,>50K
31,1,198770,13,0,10,4,4,0,0,0,60,39,<=50K
18,3,219256,10,4,12,3,4,0,0,0,25,39,<=50K
19,3,248730,10,4,11,3,4,1,0,0,30,39,<=50K
41,3,110732,10,0,13,1,4,0,0,0,40,39,<=50K
41,3,181020,9,0,5,4,4,0,0,0,40,39,<=50K
69,3,183791,9,0,0,1,4,0,0,0,25,39,<=50K
48,0,42972,16,2,10,5,4,0,0,0,40,39,>50K
28,3,134813,9,4,10,3,4,1,0,0,40,39,<=50K
27,5,115438,9,2,2,0,4,1,0,0,60,21,>50K
41,3,239296,14,2,10,0,4,1,0,2415,50,39,>50K
41,3,428420,10,2,0,0,4,1,0,0,40,39,<=50K
24,3,247846,9,4,2,4,2,0,0,0,40,39,<=50K
20,2,334105,9,4,8,1,4,0,0,0,40,39,<=50K
42,4,100793,16,2,10,0,4,1,0,0,41,39,>50K
57,3,244478,9,2,2,0,2,1,0,0,48,39,<=50K
30,3,142921,12,4,10,1,4,0,0,0,40,39,<=50K
36,3,182863,9,2,12,0,4,1,0,0,60,39,>50K
33,3,145402,9,2,6,5,4,0,0,0,35,39,<=50K
23,3,306309,6,2,4,0,4,1,0,0,40,39,<=50K
46,3,83822,14,2,10,0,4,1,0,0,40,39,<=50K
18,3,262118,10,4,0,3,1,0,0,0,22,11,<=50K
40,3,155972,9,2,3,0,4,1,7688,0,55,39,>50K
43,4,214503,9,2,3,0,4,1,0,1887,45,39,>50K
34,3,159303,14,4,10,3,4,0,0,0,30,39,<=50K
47,5,174995,9,6,3,1,4,0,0,0,30,39,<=50K
44,3,26669,11,6,3,4,4,0,0,0,30,39,<=50K
33,3,177727,9,2,12,0,4,1,0,0,40,39,>50K
55,3,124771,13,2,3,0,4,1,15024,0,50,39,>50K
19,3,456736,9,4,12,1,4,1,2907,0,30,39,<=50K
28,3,216604,10,4,7,1,2,1,0,0,14,39,<=50K
27,3,221561,7,2,7,5,2,0,0,0,32,39,<=50K
22,3,315476,7,4,2,4,4,1,0,0,40,39,<=50K
40,6,67874,13,2,0,0,4,1,0,1887,45,39,>50K
25,3,126110,10,4,0,3,4,0,0,0,40,39,<=50K
26,1,102264,9,4,2,1,4,1,0,0,40,39,<=50K
22,3,537222,13,4,12,1,4,1,0,0,25,39,<=50K
42,3,113732,10,4,5,4,2,0,0,625,40,39,<=50K
38,4,93225,13,0,3,1,4,1,0,0,40,39,<=50K
55,3,43064,7,2,7,0,4,1,0,0,30,39,<=50K
32,3,136921,9,2,12,0,4,1,0,0,40,39,<=50K
22,3,388885,9,2,2,0,4,1,0,0,45,39,<=50K
29,3,142249,13,4,12,3,4,1,0,0,40,39,<=50K
46,6,56841,14,2,3,0,4,1,0,0,45,39,>50K
31,3,156493,10,2,3,0,4,1,0,0,40,39,>50K
58,5,159021,16,2,10,0,4,1,0,0,16,39,>50K
42,3,190910,9,2,2,0,4,1,0,0,45,39,<=50K
18,3,41879,9,4,5,4,4,1,0,0,25,39,<=50K
58,1,137249,9,0,3,1,4,1,0,0,33,39,<=50K
54,3,236157,9,2,10,0,4,1,0,1887,40,39,>50K
34,3,189759,14,4,10,1,4,1,0,0,40,39,<=50K
26,3,239877,13,4,0,1,4,0,0,0,40,39,<=50K
61,3,21175,8,2,3,0,4,1,0,0,60,39,<=50K
48,1,67229,14,5,0,4,2,0,0,0,40,39,<=50K
36,3,236391,10,2,3,0,4,1,0,0,45,39,>50K
24,3,325596,11,2,6,0,4,1,0,0,45,39,<=50K
40,3,83411,10,2,6,0,4,1,0,0,37,39,<=50K
33,4,154227,9,2,12,0,4,1,0,0,50,39,>50K
37,3,248010,10,2,6,0,4,1,0,1887,40,39,>50K
34,3,198613,14,4,3,3,4,1,4650,0,40,39,<=50K
56,4,321529,10,2,3,0,4,1,15024,0,40,39,>50K
28,2,168524,9,2,8,3,4,0,0,0,38,39,>50K
37,3,203079,13,6,3,1,4,0,0,0,55,39,<=50K
44,3,284652,9,0,12,4,2,0,0,0,40,39,<=50K
64,2,201368,10,2,8,0,4,1,0,0,8,39,<=50K
54,3,59840,9,0,5,1,4,1,0,0,45,39,<=50K
23,3,52753,9,4,6,1,4,1,0,0,50,39,<=50K
34,6,513100,13,3,4,1,2,1,0,0,40,0,<=50K
22,3,199266,9,4,7,1,4,0,0,0,45,39,<=50K
33,3,196385,13,2,3,0,4,1,0,1977,40,39,>50K
39,3,163205,13,5,10,1,4,1,0,0,50,39,>50K
47,3,411047,10,0,0,1,2,0,0,0,37,39,<=50K
26,3,209440,9,4,10,4,2,0,0,0,55,39,<=50K
31,3,56964,10,0,3,4,4,0,0,0,40,39,<=50K
44,3,299197,10,4,14,1,4,1,0,0,45,39,<=50K
42,4,240628,15,2,10,5,4,0,0,0,50,39,>50K
19,3,355313,9,4,6,1,4,0,0,0,40,39,<=50K
27,3,132267,9,2,5,0,4,1,0,0,40,39,>50K
51,1,174861,10,2,11,0,4,1,0,0,40,39,>50K
28,4,142443,13,2,3,0,4,1,0,0,50,39,<=50K
